"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.957940613855221,0.0251143884466896,-38.1430993587061,0
"wealth",-1.49216436936015e-07,3.82661316917554e-08,-3.89943875534627,9.64159208889522e-05
