"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.64342879933232,0.646194025712013,-0.995720749078969,0.319385845706013
"wealth",-1.36463428240023e-06,3.59045809095014e-07,-3.80072472044677,0.000144273510217582
"ELSA_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0156029752358978,0.00944134733179891,-1.65262167438181,0.0984078841033574
"ELSA_subset_wealth_gradient[, wealth_gradient_cov2]",-0.0303660917073858,0.0276525050292163,-1.09813167650824,0.272146995158063
"ELSA_subset_wealth_gradient[, wealth_gradient_cov3]",0.41068920182341,0.153726501495118,2.67155758980473,0.00755001158799738
