"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.75759103752019,0.378831088316141,-4.63951109538678,3.49234386461137e-06
"wealth",1.4962858126895e-07,2.61952064496825e-07,0.571205963031314,0.567860036583407
"data_both_countries[, wealth_gradient_cov1]",-0.0170061772313688,0.00592422450694116,-2.87061660331127,0.00409672072355059
"data_both_countries[, wealth_gradient_cov2]",-0.0071900304103493,0.014267815506176,-0.503933514365743,0.614308098429686
"data_both_countries[, wealth_gradient_cov3]",0.370747601786363,0.111251457353528,3.33251905732995,0.000860635759426077
