"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples means","t value"
"res_BMI","30.4434895041567","14143","3.14720099373614e-197","6.74034461765595","7.66804165989261","35.367689510305","28.1634963715307"
