"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples means","t value"
"res_wealth","-9.25902718884985","16465","2.31166340366904e-20","-131723.796301495","-85696.5632423599","356209.6436167","464919.823388628"
