"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-6.9232653841006","9324","4.70487056830829e-12","-133394.607364434","-74525.2325384181","332947.546263313","436907.466214738"
