"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","3.5848978744067","9397","0.000338919803182812","0.340213376355498","1.16116431369216","67.1344097752564","66.3837209302326"
