"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","18.4480223203536","7992","1.87224130508708e-74","6.2713840552342","7.76261726203936","35.2574873539253","28.2404866952885"
