""," country_cat","     age","     sex","     BMI","    wealth","    SES"
"","Min.   :0  ","Min.   : 50.00  ","Min.   :0  ","Min.   :  4.806  ","Min.   : -520000  ","Length:4583       "
"","1st Qu.:0  ","1st Qu.: 58.00  ","1st Qu.:0  ","1st Qu.: 27.342  ","1st Qu.:   20150  ","Class :character  "
"","Median :0  ","Median : 66.00  ","Median :0  ","Median : 31.833  ","Median :  128700  ","Mode  :character  "
"","Mean   :0  ","Mean   : 67.13  ","Mean   :0  ","Mean   : 35.257  ","Mean   :  332948  ",NA
"","3rd Qu.:0  ","3rd Qu.: 75.00  ","3rd Qu.:0  ","3rd Qu.: 37.497  ","3rd Qu.:  340900  ",NA
"","Max.   :0  ","Max.   :101.00  ","Max.   :0  ","Max.   :304.846  ","Max.   :27662000  ",NA
"",NA,NA,NA,"NA's   :7  ",NA,NA
