"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","-1.25444268087714","7137","0.209722227905199","-0.830535728219384","0.182359046144394","66.2419106317411","66.5659989727786"
