"","country_cat","     age","     sex","     BMI","    wealth","    SES"
"","0:5192  ","Min.   : 50.00  ","Min.   :0.0000  ","Min.   : 29.90  ","Min.   : -843500  ","Length:5192       "
"","1:   0  ","1st Qu.: 58.00  ","1st Qu.:0.0000  ","1st Qu.: 33.20  ","1st Qu.:   21000  ","Class :character  "
"",NA,"Median : 65.00  ","Median :0.0000  ","Median : 36.52  ","Median :  123700  ","Mode  :character  "
"",NA,"Mean   : 66.24  ","Mean   :0.4728  ","Mean   : 40.35  ","Mean   :  309020  ",NA
"",NA,"3rd Qu.: 74.00  ","3rd Qu.:1.0000  ","3rd Qu.: 41.40  ","3rd Qu.:  322000  ",NA
"",NA,"Max.   :101.00  ","Max.   :1.0000  ","Max.   :304.85  ","Max.   :20510619  ",NA
