"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-3.88255135813745","7115","0.000104301561699323","-106445.621811508","-35019.8196175979","309020.433576826","379753.154291379"
