"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.53898614189685,0.661392342410232,2.32688835841144,0.0199712079734818
"age",-0.0640908355949351,0.0107808362546462,-5.94488535778603,2.76650405421509e-09
