"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.12012793852568,0.478996785899364,-2.33848737924728,0.0193619796209044
"wealth",-1.14764327777285e-06,2.51338791538413e-07,-4.56612077566011,4.96832586269103e-06
"age",-0.0147111915105318,0.00697160541409246,-2.11015836908878,0.034844717058809
"sex",0.345162688372048,0.129130854949816,2.67296835064081,0.00751833433337659
