"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.51684023699866,0.723697201614735,-3.47775316994872,0.00050563530348524
"age",-0.0125222960034403,0.0108709660375263,-1.15190278032455,0.249361025609271
