"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.00542303579632413,0.493660431397049,0.0109853564341323,0.991235129994556
"wealth",-2.06001972858826e-07,1.32796416858792e-07,-1.55126153048148,0.120839021900199
"age",-0.0449363699779082,0.00775135389663115,-5.79722853286807,6.7419789769166e-09
