"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.798648287267141,0.553256630536054,1.44354038105847,0.148868305722836
"wealth",-1.36777773898105e-08,1.46412219141707e-07,-0.0934196440023378,0.925570185103318
"HRS_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0572832596108177,0.00994380809246754,-5.76069641309852,8.37675887190755e-09
"HRS_subset_wealth_gradient[, wealth_gradient_cov2]",0.141833545929907,0.0450074770695042,3.15133295987411,0.00162527097638327
"HRS_subset_wealth_gradient[, wealth_gradient_cov3]",-0.601875884421384,0.159321717366069,-3.77773912038916,0.000158258528489435
