"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.77975771486416,0.734313593377813,3.78551853041067,0.000153388403112051
"age",-0.0776960615614113,0.0116208353831136,-6.68592738817319,2.29466789802314e-11
