"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.54752393382734,0.0825093447176323,-30.8755807302265,2.54145948296267e-209
"wealth",-1.77900194156787e-07,1.69526322505439e-07,-1.04939570166798,0.293996035686801
