"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.399528228804621,0.470426276139922,0.849289780500667,0.395720065995475
"wealth",-1.31592696370189e-07,1.54004051932364e-07,-0.854475546058894,0.392841553162229
"data_both_countries[, wealth_gradient_cov1]",-0.0436625514964174,0.00760203195459429,-5.74353695922443,9.27191145813476e-09
"data_both_countries[, wealth_gradient_cov2]",0.0127796832718899,0.0128918520541726,0.991299249959478,0.321539479135887
"data_both_countries[, wealth_gradient_cov3]",-0.504724873779718,0.138039370086972,-3.65638349017178,0.000255798593117726
