"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.872147870423855,0.516316360428659,1.68917341627481,0.0911862018310221
"wealth",-1.82764311435054e-07,1.70303836168923e-07,-1.07316614555747,0.283196577370471
"HRS_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0631799985081202,0.00921444895301871,-6.85662255336734,7.05075960991663e-12
"HRS_subset_wealth_gradient[, wealth_gradient_cov2]",0.165463325967139,0.0420412096871502,3.93574131663753,8.29402750460496e-05
"HRS_subset_wealth_gradient[, wealth_gradient_cov3]",-0.500151168460432,0.153190073372454,-3.26490586138964,0.00109500462694605
