"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.58234427222842,1.27187586612851,2.03034300830699,0.0423216853811308
"wealth",-1.64340895838062e-06,5.03792869467637e-07,-3.26207268498504,0.00110600780915308
"ELSA_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0771354417504475,0.0190146993886141,-4.05662167852288,4.97876298283623e-05
"ELSA_subset_wealth_gradient[, wealth_gradient_cov2]",-0.0135225977964305,0.0280304477485232,-0.482425322554575,0.629503836040361
"ELSA_subset_wealth_gradient[, wealth_gradient_cov3]",-0.244784149273347,0.265779120654903,-0.921005941588556,0.357047324976825
