"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.326583218653034,0.61874075278106,-0.52781915072692,0.597624863880478
"wealth",-6.07711044831151e-08,4.6883043084406e-07,-0.12962278146857,0.896864878304543
"HRS_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0457189201117415,0.0111819714883172,-4.08862785596513,4.33932352745493e-05
"HRS_subset_wealth_gradient[, wealth_gradient_cov2]",-0.0444711724165494,0.0521160656928696,-0.853310237933671,0.393487284100456
"HRS_subset_wealth_gradient[, wealth_gradient_cov3]",0.362811958104281,0.167143209859092,2.17066525412635,0.0299564855061526
