"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","24.3641922056","11568","6.63816647781541e-128","6.28405648252953","7.38366373858506","37.009282122858","30.1754220123007"
