"","V1","V2","V3","V4","V5","V6","V7"
"sex_diff_names","chi sq","df","p value","0_0","0_1","1_0","1_1"
"X-squared","18.1748606177622","1","2.01521437429729e-05","3927","3106","2349","2188"
