"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","-1.0382365810919","11568","0.299181626318693","-0.559453409963484","0.172017511169545","66.91141760273","67.105135552127"
