"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-7.84309476741089","11501","4.78386940047143e-15","-149371.315656593","-89637.5001756987","345627.134190265","465131.542106411"
