"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.19218402844686,0.36972065189278,-11.3387878307177,8.43040711836995e-30
"wealth",-2.1060827730618e-06,1.03788992799138e-06,-2.02919665781677,0.0424382638640117
