"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-2.79084460739472","4384","0.00527981107857467","-137636.604512709","-24053.1833904205","448865.585893132","529710.479844696"
