"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","6.36848395375458","4429","2.10308778900785e-10","0.185507192618928","0.350519945908516","27.5759326270406","27.3079190577769"
