"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.50521431655354,0.108789699404719,-23.0280470509773,2.44146721932297e-117
"wealth",-1.53785833358149e-06,2.89385091653066e-07,-5.31422791960956,1.07110488040687e-07
