"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.66448082804798,0.0658044226657558,-40.4909080592019,0
"wealth",-8.83972104421718e-07,1.71809359516953e-07,-5.1450753725352,2.67413422112741e-07
