"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.25631316674587,0.473041131464103,-2.65582225980534,0.00791153011922227
"age",-0.0151000959505703,0.00693196000119733,-2.17832993092317,0.029381482362411
