"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.25026873196569,4.65173865074344,-0.698721268755335,0.484726239464962
"wealth",-9.87609876557412e-07,1.69497125661964e-06,-0.582670574914085,0.56011508537575
"ELSA_subset_wealth_gradient[, wealth_gradient_cov1]",-0.0278183467238577,0.0656873576430385,-0.423496205693484,0.67193326630928
"ELSA_subset_wealth_gradient[, wealth_gradient_cov2]",-0.00237625269541998,0.0672548800976303,-0.0353320486479271,0.971814968152204
"ELSA_subset_wealth_gradient[, wealth_gradient_cov3]",-0.0202687778688002,1.005189774572,-0.0201641305766669,0.983912441717435
