"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.259547926557432,2.2074249591732,0.117579501617417,0.906400847604285
"age",-0.0798200615822718,0.0349055444693959,-2.28674449276262,0.0222107410724451
