"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","12.4356431906602","2385","1.9104674986578e-34","5.23904473392441","7.20064140462918","35.491555334085","29.2717122648082"
