"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","2.71235957393588","3241","0.00671589238569517","22383.4889188281","139157.097920383","426604.167860479","345833.874440874"
