"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","4.11278710732496","3274","4.00525554222004e-05","1.0990462732534","3.10163859685435","70.7020725388601","68.6017301038062"
