"","OR","2.5 %","97.5 %","Estimate","Std. Error","t value","Pr(>|t|)",""
"(Intercept)","1.59627303491661","1.56632507876381","1.62679359256184","0.467671558905195","0.00966313545113179","48.3974959546302","0","age_discrimination"
"country_cat","1.24690283135501","1.21038497610741","1.28452244660316","0.220662741733205","0.0151657228855299","14.550097176294","6.02870672569174e-47","age_discrimination"
"SES_both2","1.12916195847921","1.06111179358164","1.20157624878807","0.121475727916507","0.0317141070369953","3.83033732511536","0.000129634990902172","age_discrimination"
"country_cat:SES_both2","0.841511897848256","0.766073781543663","0.924378684247905","-0.172555126594122","0.0479200982638921","-3.60089258673626","0.000320399439079809","age_discrimination"
