"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-26.9459746253784","6259","2.09645222478465e-151","-155798.074102615","-134666.522258728","183106.642451064","328338.940631736"
