"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","30.734624329591","5338","3.84919699250926e-191","7.09942815066117","8.06680667738165","35.6957958201497","28.1126784061283"
