"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","0.571599797414121","6259","0.567613658021564","-0.339624700968728","0.619200362668295","67.0895471569629","66.9497593261131"
