"","OR","2.5 %","97.5 %","Estimate","Std. Error","t value","Pr(>|t|)",""
"(Intercept)","1.36300615897532","1.34411422551658","1.38216362429362","0.309692671394813","0.00712127559060695","43.4883705109378","0","age_discrimination"
"country_cat","0.940634134563163","0.924512310979646","0.95703709360869","-0.0612010199285538","0.00882051511467906","-6.9384859197966","4.162997724206e-12","age_discrimination"
"SES_both2","1.08772647157611","1.03882257173616","1.1389325849842","0.0840897120248929","0.0234707286222392","3.5827482554255","0.000341318504650339","age_discrimination"
"country_cat:SES_both2","0.843905367928652","0.79874039045009","0.891624210486565","-0.169714913979753","0.0280639800283537","-6.04742854749346","1.51467902676264e-09","age_discrimination"
