"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","-15.3919327245462","928","8.79865227782533e-48","-7.75879230455195","-6.00399080975453","55.8744769874477","62.7558685446009"
