"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","28.9113876848695","12471","5.91335850849227e-178","6.75222072588109","7.73439425116962","35.5752709384788","28.3319634499534"
