"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-40.9375829454665","14647","0","-148406.494272495","-134844.211830425","172017.99991801","313643.35296947"
