"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","1.10407817555051","14647","0.26957736508021","-0.141733247330971","0.507331027860412","67.0015563101302","66.8187574198654"
