"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.51504676948717,0.819112528428908,-4.29128678599164,1.77640716915662e-05
"age",-0.0194668415607275,0.0126597165352971,-1.53769964015002,0.124122071685504
