"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.521199277813441,0.291960117362561,-1.7851728603267,0.0742332826649526
"wealth",-4.90449518847675e-07,1.91836180372235e-07,-2.55660594313344,0.0105698879186145
"age",-0.0306991800712921,0.00455486920871188,-6.73985984330246,1.58539486920912e-11
"sex",0.413198527928067,0.0821483174173052,5.02990859604659,4.90713711374106e-07
