"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.651462580549164,0.373967198716822,1.74203134067506,0.0815029603633168
"wealth",-1.9301926739515e-06,2.35800615809449e-07,-8.18569818965737,2.70729443485015e-16
"age",-0.0324346647208091,0.00568885991351327,-5.70143494723154,1.18803073347333e-08
