"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.714596345482736,1.46801341599475,-0.486777803047877,0.626415802119064
"wealth",3.91879703403175e-07,3.60867365901439e-07,1.08593832646592,0.277506278935214
"age",-0.00866235797929193,0.0233805788089947,-0.370493735422813,0.711014643410464
"sex",-0.865111861129851,0.397889708415542,-2.17425040867445,0.0296863345265198
