"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","17.5268624624273","7131","2.27575852745399e-67","6.20125298202335","7.76309982912728","35.4895533153117","28.5073769097364"
