""," country_cat","     age","     sex","     BMI","    wealth","    SES"
"","Min.   :0  ","Min.   : 50.00  ","Min.   :0  ","Min.   :  4.806  ","Min.   :-520000  ","Length:4131       "
"","1st Qu.:0  ","1st Qu.: 58.00  ","1st Qu.:0  ","1st Qu.: 27.342  ","1st Qu.:  12775  ","Class :character  "
"","Median :0  ","Median : 66.00  ","Median :0  ","Median : 32.224  ","Median : 102999  ","Mode  :character  "
"","Mean   :0  ","Mean   : 66.94  ","Mean   :0  ","Mean   : 35.490  ","Mean   : 164134  ",NA
"","3rd Qu.:0  ","3rd Qu.: 75.00  ","3rd Qu.:0  ","3rd Qu.: 38.083  ","3rd Qu.: 252250  ",NA
"","Max.   :0  ","Max.   :101.00  ","Max.   :0  ","Max.   :304.846  ","Max.   : 787000  ",NA
"",NA,NA,NA,"NA's   :7  ",NA,NA
