"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-30.6836324159286","8386","4.78993631423179e-196","-146852.640492056","-129215.800716226","164134.353556456","302168.574160597"
