"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_wealth","-5.99488601347556","7139","2.13546966234667e-09","-148385.365366407","-75255.8567228041","388090.681945222","499911.292989828"
