"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_BMI","32.3232038130222","6149","7.74382659883097e-212","6.99704615537422","7.90056190858075","35.5187182816717","28.0699142496942"
