"","t","df","V3","V4","V5","mean in group 0","mean in group 1"
"T_test_names","t value","df","p-value","95% CI ","95% CI","samples 1 mean","samples 2 mean"
"res_age","2.9274556973039","7197","0.00342818101582294","0.219497179671559","1.10927347795944","67.4739832535885","66.809597924773"
