"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.52788208169812,0.0961187707333273,-26.2995673208462,1.93969175274076e-152
"wealth",6.83464842333194e-08,9.04282632399052e-08,0.755808878602445,0.449763792713579
